[StatsPreview] Total: 35, Allocated: 0, Free: 35
[StatsPreview] Total: 35, Allocated: 11, Free: 24
[StatsPreview] Total: 35, Allocated: 11, Free: 24
[StatsPreview] Total: 35, Allocated: 22, Free: 13
[StatsPreview] Total: 35, Allocated: 22, Free: 13
[StatsPreview] Total: 35, Allocated: 22, Free: 13
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 49, Free: 0
[StatsPreview] Total: 35, Allocated: 49, Free: 0
[StatsPreview] Total: 35, Allocated: 47, Free: 0
[StatsPreview] Total: 35, Allocated: 45, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 43, Free: 0
[StatsPreview] Total: 35, Allocated: 42, Free: 0
[StatsPreview] Total: 35, Allocated: 40, Free: 0
[StatsPreview] Total: 35, Allocated: 36, Free: 0
[StatsPreview] Total: 35, Allocated: 30, Free: 5
[StatsPreview] Total: 35, Allocated: 32, Free: 3
[StatsPreview] Total: 35, Allocated: 30, Free: 5
[StatsPreview] Total: 35, Allocated: 28, Free: 7
[StatsPreview] Total: 35, Allocated: 26, Free: 9
[StatsPreview] Total: 35, Allocated: 0, Free: 35
[StatsPreview] Total: 35, Allocated: 0, Free: 35
[StatsPreview] Total: 35, Allocated: 11, Free: 24
[StatsPreview] Total: 35, Allocated: 11, Free: 24
[StatsPreview] Total: 35, Allocated: 22, Free: 13
[StatsPreview] Total: 35, Allocated: 22, Free: 13
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 44, Free: 0
[StatsPreview] Total: 35, Allocated: 42, Free: 0
[StatsPreview] Total: 35, Allocated: 38, Free: 0
[StatsPreview] Total: 35, Allocated: 36, Free: 0
[StatsPreview] Total: 35, Allocated: 34, Free: 1
[StatsPreview] Total: 35, Allocated: 33, Free: 2
[StatsPreview] Total: 35, Allocated: 32, Free: 3
[StatsPreview] Total: 35, Allocated: 31, Free: 4
[StatsPreview] Total: 35, Allocated: 31, Free: 4
[StatsPreview] Total: 35, Allocated: 31, Free: 4
[StatsPreview] Total: 35, Allocated: 29, Free: 6
[StatsPreview] Total: 35, Allocated: 28, Free: 7
[StatsPreview] Total: 35, Allocated: 28, Free: 7
[StatsPreview] Total: 35, Allocated: 27, Free: 8
[StatsPreview] Total: 35, Allocated: 25, Free: 10
[StatsPreview] Total: 35, Allocated: 27, Free: 8
